caseTitle,state,county,year,practiceArea,injuryType,resultType,amount,description,source
"Carnwath v. Amazon Logistics, Inc.",Massachusetts,Middlesex,2026,Car Accident,Traumatic Brain Injury,verdict,56000000,"A Middlesex Superior Court jury awarded $56 million to a 78-year-old Newburyport man catastrophically injured when an Amazon delivery van crossed the center line and struck his vehicle, leaving him with a traumatic brain injury, an amputated leg, and a need for 24-hour nursing care. Amazon and co-defendant Agora Logistics stipulated to liability. The verdict beat a $20 million pre-trial settlement offer.",Claims Journal
,Illinois,,2026,Car Accident,Other,settlement,45000000,$45.0 million settlement in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Car Accident,Burns,settlement,35000000,Car Accident settlement of $35 million in Illinois.,News
,New York,,2026,Car Accident,Traumatic Brain Injury,verdict,32756156,Verdict in a Long Island case for a Vietnam veteran who suffered severe life-threatening head injuries after he was hit by a driver impaired on drugs.,News
,Texas,,2026,Car Accident,Wrongful Death,settlement,23291950.72,"HERRMAN & HERRMAN PERSONAL INJURY CASE RESULTS Herrman & Herrman P.L.L.C., has represented thousands of clients with serious injuries.",News
,Illinois,,2026,Car Accident,Wrongful Death,verdict,22000000,Teenager in stolen vehicle crashed into decedent's car during high-speed police pursuit on Chicago's West Side.,News
,New York,,2026,Car Accident,Other,verdict,20181484,"$20,181,484 verdict for a man injured in a head-on collision caused by icy road conditions in Westchester County.",News
"Crawley v. Uber Technologies, Inc.",New Jersey,Bergen,2026,Car Accident,Multiple Injuries,verdict,19000000,Bergen County jury verdict against Uber for career-ending injuries suffered by a passenger when the rideshare vehicle left the road in Glen Rock and struck a utility pole; jury found Uber vicariously liable for the driver.,Daily Voice news coverage of the Bergen County verdict
,New York,,2026,Car Accident,Traumatic Brain Injury,settlement,13500000,"$13,500,000 settlement for a woman who sustained Traumatic Brain Injury and multiple fractures after she was hit by a car while she was walking home at night. This is the highest reported personal injury settlement in Suffolk County.",News
,New Jersey,,2026,Car Accident,Other,settlement,11175000,On a cumulative total of in five cases settled for occupants injured in unsafe cars.,News
,Massachusetts,,2026,Car Accident,Spinal Cord Injury,settlement,10900000,"Reported settlement for a thoracic spine fracture requiring fusion, suffered in a multi-vehicle highway collision near Boston. Reported case result published by Breakstone, White & Gluck.","Breakstone, White & Gluck"
,Illinois,,2026,Car Accident,Other,settlement,10800000,$10.8 million settlement in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,South Carolina,,2026,Car Accident,Wrongful Death,settlement,10000000,"Poor safety record, hidden evidence prove costly in deadly crash. Action: Motor vehicle negligence Injuries alleged: Three wrongful deaths, one injury (broken foot) Case name: Withheld Amount: $10 million Date: April 15, 2026 Attorneys: Mark Bringardner of Bringardner Injury",South Carolina Lawyers Weekly
,New York,,2026,Car Accident,Back Injury,settlement,9263326,"$9,263,326 settlement for a taxi passenger who sustained lumbar spinal injuries and knee injuries after he was rear-ended by another vehicle.",News
,Texas,,2026,Car Accident,Other,verdict,9000000,$9.0 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,Indiana,Porter,2026,Car Accident,Other,verdict,8000000,"Indiana jury verdict of $8,000,000 in Porter County, reported as Auto Negligence.",Indiana Jury Verdict Reporter
,New York,,2026,Car Accident,Wrongful Death,settlement,7525000,"$7,525,000 settlement in a wrongful death case for survivors of a tragic car crash that killed a mother and her son in Suffolk County.",News
,Texas,,2026,Car Accident,Other,verdict,5920000,$5.9 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Car Accident,Spinal Cord Injury,settlement,5600000,Settlement for pre-teen boy left quadriplegic after car crash.,News
Retired couple injured in I-485 crash,North Carolina,Mecklenburg,2026,Car Accident,Traumatic Brain Injury,settlement,5490000,"Recovery for a retired couple injured in a crash on I-485 in the Charlotte area; one spouse sustained a traumatic brain injury with hemorrhage and a vertebral fracture, the other multiple rib fractures with pneumothorax.",NC Lawyers Weekly
,Texas,,2026,Car Accident,Wrongful Death,verdict,5000000,$5.0 million jury verdict in a car accident case in Texas . The plaintiff sustained wrongful death and was awarded damages.,News
,New Jersey,,2026,Car Accident,Other,settlement,4197000,$4.2 million settlement in a car accident case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,South Carolina,,2026,Car Accident,Wrongful Death,settlement,4105000,"Fatal ambulance crash yields recovery four times the available coverage. Action: Motor vehicle negligence Injuries alleged: Closed head injury, intracranial bleed leading to death Case name: Withheld Demand: Policy limit of $1 million Amount: $4,105,000 Date: July 20, 2026",South Carolina Lawyers Weekly
,New Jersey,,2026,Car Accident,Wrongful Death,settlement,3750000,Settlement; Motor Vehicle Accident; Auto Product Liability; Wrongful Death.,News
,Texas,,2026,Car Accident,Other,verdict,3600000,$3.6 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Car Accident,Wrongful Death,settlement,3000000,$3.0 million settlement in a car accident case in New York . The plaintiff sustained wrongful death and was awarded damages.,News
Carver v. Terrazas-Lozano,Nevada,Clark,2026,Car Accident,Traumatic Brain Injury,verdict,2900000,"A driver intoxicated on alcohol and cannabis sped over a median in his Ford F-150 and struck a minivan carrying Autumn Carver and her four children. Carver claimed a severe traumatic brain injury among other injuries. Eighth Judicial District Court jury awarded just over $2.7 million in compensatory damages plus $200,000 punitive in January 2026, approximately $2.9 million total.",Courtroom View Network trial coverage
,Texas,,2026,Car Accident,Other,verdict,2368000,$2.4 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
Rural detour crash settlement,North Carolina,NC (statewide list),2026,Car Accident,Multiple Injuries,settlement,2250000,"Motor vehicle negligence settlement after a crash on the defendant's rural detour; injuries included a liver laceration, rib fractures, and a mediastinal hematoma.",NC Lawyers Weekly
,New York,,2026,Car Accident,Other,verdict,2150000,$2.1 million jury verdict in a car accident case in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Texas,,2026,Car Accident,Other,verdict,2127500,$2.1 million jury verdict in a car accident case in Texas . The plaintiff sustained personal injury and was awarded damages.,News
,New Jersey,,2026,Car Accident,Wrongful Death,settlement,2050000,Settlement; Inadequate Anesthesia Care Resulting In Brain Injury and Death.,News
