caseTitle,state,county,year,practiceArea,injuryType,resultType,amount,description,source
,Illinois,,2026,Medical Malpractice,Wrongful Death,settlement,363000000,$363.0 million settlement in a medical malpractice case in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,Illinois,,2026,Medical Malpractice,Other,verdict,281000000,$281.0 million jury verdict in a medical malpractice case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Wrongful Death,verdict,241000000,$241.0 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,Illinois,,2026,Premises Liability,Other,verdict,148190997,$148.2 million jury verdict in a premises liability case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Other,settlement,145000000,$145.0 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Medical Malpractice,Other,settlement,120000000,$120.0 million settlement in a medical malpractice case in New York . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Bicycle Accident,Spinal Cord Injury,verdict,110174972,"$110,174,972.38 verdict for a cyclist who was paralyzed by a falling railroad tie during subway maintenance.",News
,Illinois,,2026,Other,Wrongful Death,verdict,79850000,$79.8 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New York,,2026,Bus Accident,Other,settlement,65000000,$65.0 million settlement in a bus accident case in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Wrongful Death,settlement,60700000,$60.7 million settlement in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New York,,2026,Other,Burns,verdict,60000000,Stroke treatment delay leads to biggest ever malpractice verdict in Westchester NY's High Court Widens Path for Emotional Distress Claim for Family Members Who Lost 2-Year-Old to Falling Debris | New York Law Journal $60 Million Awarded to N.Y. Student Engulfed in Flames in Chemistry Accident Beacon.,News
,New York,,2026,Other,Other,settlement,56000000,Other settlement of $56 million in New York.,News
,New York,,2026,Workplace Injury,Spinal Cord Injury,verdict,53500000,"$53,500,000 verdict in a Brooklyn case for a 43-year-old worker who suffered paralysis after a work site accident.",News
,Illinois,,2026,Other,Wrongful Death,verdict,52182059,$52.2 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New Jersey,,2026,Medical Malpractice,Other,verdict,46700000,$46.7 million jury verdict in a medical malpractice case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Car Accident,Other,settlement,45000000,$45.0 million settlement in a car accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Car Accident,Burns,settlement,35000000,Car Accident settlement of $35 million in Illinois.,News
,New York,,2026,Car Accident,Traumatic Brain Injury,verdict,32756156,Verdict in a Long Island case for a Vietnam veteran who suffered severe life-threatening head injuries after he was hit by a driver impaired on drugs.,News
,New Jersey,,2026,Medical Malpractice,Other,verdict,28600000,$28.6 million jury verdict in a medical malpractice case in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Wrongful Death,verdict,28000000,$28.0 million jury verdict in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New York,,2026,Workplace Injury,Other,settlement,25000000,"$25,000,000 settlement in a third party work injury case for a crane operator who sustained serious injuries after a construction site fall.",News
,Illinois,,2026,Workplace Injury,Other,verdict,25000000,Verdict for severe injuries to a railroad worker in a yard.,News
,New Jersey,,2026,Other,Other,settlement,25000000,$25.0 million settlement in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,Texas,,2026,Car Accident,Wrongful Death,settlement,23291950.72,"HERRMAN & HERRMAN PERSONAL INJURY CASE RESULTS Herrman & Herrman P.L.L.C., has represented thousands of clients with serious injuries.",News
,Illinois,,2026,Car Accident,Wrongful Death,verdict,22000000,Teenager in stolen vehicle crashed into decedent's car during high-speed police pursuit on Chicago's West Side.,News
,Illinois,,2026,Other,Other,verdict,21059014,$21.1 million jury verdict in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Other,settlement,20648337,$20.6 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Wrongful Death,settlement,20500000,$20.5 million settlement in Illinois . The plaintiff sustained wrongful death and was awarded damages.,News
,New York,,2026,Car Accident,Other,verdict,20181484,"$20,181,484 verdict for a man injured in a head-on collision caused by icy road conditions in Westchester County.",News
,Illinois,,2026,Other,Other,settlement,19500000,$19.5 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Truck Accident,Other,verdict,17900000,$17.9 million jury verdict in a truck accident case in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,17675000,$17.7 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Bus Accident,Wrongful Death,verdict,17650000,"Read more Nursing Home Neglect $17.65 Million We represented the family of “Mary,” a 52-year-old woman with multiple sclerosis who entered a nursing home for full-time care. Tragically, over the next several years, Mary endured severe and ongoing neglect. She was frequently left sitting in her own w.",News
,Illinois,,2026,Medical Malpractice,Wrongful Death,verdict,17000000,Verdict for the wrongful death of an infant due to medical malpractice.,News
,Illinois,,2026,Other,Other,settlement,15750000,$15.8 million settlement in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Other,Other,verdict,15228068,$15.2 million jury verdict in Illinois . The plaintiff sustained personal injury and was awarded damages.,News
,Illinois,,2026,Medical Malpractice,Traumatic Brain Injury,verdict,15000000,"Read more Child Medical Malpractice $15 Million A 3 year-old boy was seen by two medical providers with a high fever yet he was discharged without any proper care and sent home. Two days later, the child fell into a coma from fluid buildup on his brain, suffered a stroke and was diagnosed with menin.",News
,New York,,2026,Other,Wrongful Death,settlement,15000000,"$15,000,000 settlement in a wrongful death case for the surviving wife and five children of an HVAC technician who tragically died in an on-the-job accident.",News
,New Jersey,,2026,Other,Other,verdict,14596000,$14.6 million jury verdict in New Jersey . The plaintiff sustained personal injury and was awarded damages.,News
,New York,,2026,Other,Other,settlement,14500000,$14.5 million settlement in New York . The plaintiff sustained personal injury and was awarded damages.,News
